7zip 26.00-1
aircrack-ng 1.7-7
amd-ucode 20260309-1
armbian-imager-bin 1.3.0-1
awww 0.12.0-1
base 3-3
base-devel 1-2
bat 0.26.1-2
bitwarden 2026.2.1-1
bluez 5.86-5
bluez-utils 5.86-5
brightnessctl 0.5.1-3
btop 1.4.6-2
btrfs-progs 6.19.1-1
cliphist 1:0.7.0-2
cosmic-app-library 1:1.0.10-1
cosmic-applets 1:1.0.10-1
cosmic-bg 1:1.0.10-1
cosmic-comp 1:1.0.10-1
cosmic-files 1:1.0.10-1
cosmic-greeter 1:1.0.10-1
cosmic-idle 1:1.0.10-1
cosmic-initial-setup 1:1.0.10-1
cosmic-launcher 1:1.0.10-1
cosmic-notifications 1:1.0.10-1
cosmic-osd 1:1.0.10-1
cosmic-panel 1:1.0.10-1
cosmic-player 1:1.0.10-1
cosmic-randr 1:1.0.10-1
cosmic-screenshot 1:1.0.10-1
cosmic-session 1:1.0.10-1
cosmic-settings 1:1.0.10-1
cosmic-settings-daemon 1:1.0.10-1
cosmic-store 1:1.0.10-1
cosmic-terminal 1:1.0.10-1
cosmic-text-editor 1:1.0.10-1
cosmic-wallpapers 2:1.0.10-1
cosmic-workspaces 2:1.0.10-1
cups 2:2.4.16-2
cups-pk-helper 0.2.7-2
deluge-gtk 1:2.2.0-2
dnsmasq 2.92-1
dolphin 25.12.3-1
dosfstools 4.2-5
dunst 1.13.2-1
edk2-ovmf 202602-2
efibootmgr 18-3
exfatprogs 1.3.2-1
eza 0.23.4-3
fastfetch 2.61.0-1
firefox 149.0.2-1
fzf 0.71.0-1
gdb 17.1-3
git 2.53.0-1
gobuster 3.8.2-1
gparted 1.8.1-1
grim 1.5.0-2
gst-plugin-pipewire 1:1.6.3-1
guestfs-tools 1.54.0-1
gum 0.17.0-1
hashcat 1:7.1.2-2
htop 3.5.0-1
hypridle 0.1.7-8
hyprland 0.54.3-2
hyprlock 0.9.4-1
hyprpicker 0.4.6-3
hyprpolkitagent 0.1.3-6
hyprshot 1.3.0-4
hyprsunset 0.3.3-6
imv 5.0.1-1
inetutils 2.7-2
john 1.9.0.jumbo1-13
kitty 0.46.2-1
lazygit 0.61.1-1
libpulse 17.0+r98+gb096704c0-1
libvirt 1:12.2.0-1
linux-firmware 20260309-1
linux-zen 6.19.11.zen1-1
luarocks 3.13.0-5
man-db 2.13.1-1
man-pages 6.17-1
mpv 1:0.41.0-3
nano 9.0-1
neovim 0.12.1-1
netdiscover 0.21-0
network-manager-applet 1.36.0-2
networkmanager 1.56.0-1
nikto 2.6.0-2
nmap 7.99-2
noto-fonts-emoji 1:2.051-1
ntfs-3g 2022.10.3-2
nwg-look 1.0.6-1
openbsd-netcat 1.234_2-1
otf-font-awesome 7.2.0-1
otf-monaspace-nerd 3.4.0-2
papirus-icon-theme 20250501-1
paru 2.1.0-2
paru-debug 2.1.0-2
pipewire 1:1.6.3-1
pipewire-alsa 1:1.6.3-1
pipewire-jack 1:1.6.3-1
pipewire-pulse 1:1.6.3-1
polkit-kde-agent 6.6.4-1
proxychains-ng 4.17-3
qemu-full 10.2.2-4
qt5-wayland 5.15.18+kde+r55-1
qt6-virtualkeyboard 6.11.0-1
qt6-wayland 6.11.0-1
qt6ct 0.11-5
rofi 2.0.0-1
rsync 3.4.1-2
screen 5.0.1-3
sddm 0.21.0-6
slurp 1.5.0-2
smartmontools 7.5-1
sof-firmware 2025.12.2-1
sqlmap 1.10.4-1
stow 2.4.1-1
sudo 1.9.17.p2-2
swaync 0.12.6-1
swtpm 0.10.1-2
system-config-printer 1.5.18-6
tcpdump 4.99.6-1
thefuck 3.32-12
tmux 3.6_a-1
traceroute 2.1.6-1
tree-sitter-cli 0.26.8-1
ttf-jetbrains-mono-nerd 3.4.0-2
tuned 2.27.0-1
tuned-ppd 2.27.0-1
udftools 2.3-3
ufw 0.36.2-7
unzip 6.0-23
uwsm 0.26.4-1
vim 9.2.0357-1
virt-install 5.1.0-3
virt-manager 5.1.0-3
virt-viewer 11.0-4
vulkan-radeon 1:26.0.4-1
wallust 3.4.0-1
waybar 0.15.0-2
wget 1.25.0-3
whois 5.6.6-1
wireplumber 0.5.14-1
wireshark-qt 4.6.4-2
wl-clipboard 1:2.3.0-1
wofi 1.5.3-1
wpa_supplicant 2:2.11-5
xdg-desktop-portal-cosmic 1:1.0.10-1
xdg-desktop-portal-hyprland 1.3.11-4
xdg-user-dirs 0.20-1
xdg-utils 1.2.1-2
xf86-video-amdgpu 25.0.0-1
xf86-video-ati 1:22.0.0-3
xfsprogs 6.19.0-1
xorg-server 21.1.22-1
xorg-xhost 1.0.10-1
xorg-xinit 1.4.4-1
yazi 26.1.22-4
zip 3.0-13
zoxide 0.9.9-2
zram-generator 1.2.1-1
zsh 5.9-6
